,book_name,author,publication,publication_year,availability,pages,shipping_time,language,price,binding,cover,about_book,page_link,cluster
3211,Sight Words Top 150 Must Know High-frequency Kindergarten & 1st Grade,Scholastic Panda Education,Scholastic Panda Education,2020,Available,104,Usually Ships 20-25 Days,English,750,Paperback,https://cms.buybooksindia.com/uploads/books/9781953149299.jpg,"Ready to teach your child how to read and write? Then keep reading... This Sightwords Top 100+ Words Reading & Writing, 1st 2nd Grade Activity Workbook with Essential Sight Words will improve your child's reading success with tons of tracing, fill in the blank and penmanship exercises. Packed with tons of fun exercises that kids will forget they're even learning! --An excellent resource for students, teachers, tutors and parents! --Includes fill in the blank word problems. --Word search puzzles --Coloring practice This book will help students: Stay busy during breaks Practice reading & writing skills for home school assignments Tracing practice Scroll back up, click ""Buy Now"" and start learning key focus words the fun way!",https://www.buybooksindia.com/sight-words-top-150-must-know-high-frequency-kindergarten-1st-grade-9781953149299-60293.htm,low range
3212,Multiplication and Division Math Workbook for 3rd 4th 5th Grades,Scholastic Panda Education,Scholastic Panda Education,2020,Available,102,Usually Ships 20-25 Days,English,750,Paperback,https://cms.buybooksindia.com/uploads/books/9781953149060_0_1646480650.jpeg,"Want to know the secret to learning math? Then keep reading... To have a ton of fun while doing it! This Multiplication and Division Math Workbook for 3rd 4th 5th Graders will improve your child's success in class with lots of multiplication and division practice - Solutions Included. Packed with tons of fun exercises kids will forget they're even learning! It even comes with a step-by-step guide on how to solve basic multiplying and dividing math problems, intermediate math problems and much more. --The level of difficulty progresses throughout the book, helping develop critical thinking skills and math skills. --An excellent math resource for students, teachers, tutors and parents! --Worksheets Full of Practice Drills / Facts and Exercises on Multiplying and Dividing --Includes fill in the blank problems to find missing multipliers and divisors with math facts as well as multiplying and dividing by 10, 100 and 1000. This book will help students: Stay busy during breaks Prepare for a math exam Practice arithmetic skills for homeschool assignments Problems also include multiplication facts, division facts, double digit multiplication, long division with remainders and long division without remainders. Scroll back up, click ""Buy Now"" and start learning math the fun way!",https://www.buybooksindia.com/multiplication-and-division-math-workbook-for-3rd-4th-5th-grades-9781953149060-60291.htm,low range
3213,Trace Letters of The Alphabet with Sight Words,Activity Nest,Drip Digital LLC,2020,Available,100,Usually Ships 20-25 Days,English,750,Paperback,https://cms.buybooksindia.com/uploads/books/9781951791322.jpg,"Easily Learn the Letters of the Alphabet This book will provide hours of learning for your child! It covers all 26 letters of the Alphabet and will help improve handwriting skills. It contains three major sections: Writing the Alphabet Writing Sight Words Practice Writing Sentences Features: 95+ pages of activities to help develop motor skills and reinforce letter recognition Large 8.5x11 pages Beautifully illustrated images There's no better time to start building your child's confidence in writing. Scroll Up and Click ""Add to Cart Now!",https://www.buybooksindia.com/trace-letters-of-the-alphabet-with-sight-words-9781951791322-60287.htm,low range
3214,Picture Puzzles,Game Nest,Drip Digital LLC,2020,Available,96,Usually Ships 20-25 Days,English,750,Paperback,https://cms.buybooksindia.com/uploads/books/9781951791681.jpg,"Picture Puzzles for Adults: Here's the Perfect Solution if You Want to Boost Your Brainpower and Have Fun Spotting the Differences! Would you like to: Unwind after a long day with a brain game? Find a new fun hobby that will sharpen your focus? Enjoy entertaining puzzles to get rid of stress? If so, picture puzzles for adults are a perfect solution for you! It's well known that our attention spans are super short these days. From staring at our screens all day long to getting a million notifications an hour, it's no wonder we feel stressed! That's why activity books for adults have become so popular lately. They allow you the opportunity to decompress and have fun while still engaging your brain. This picture puzzles book for adults will get you to focus on the little things in life. Inside you will find a bunch of originally drawn illustrations, side by side. From animals to landscapes and funny scenes, you will get a kick out of finding the differences in these images!",https://www.buybooksindia.com/picture-puzzles-9781951791681-60286.htm,low range
3215,Spot the Difference,Barton Press,More Books LLC,2020,Available,96,Usually Ships 20-25 Days,English,750,Paperback,https://cms.buybooksindia.com/uploads/books/9781954289055.jpg,"Spot The Difference: Here's the Perfect Solution if You Want to Boost Your Brainpower and Have Fun Spotting the Differences! Would you like to: Unwind after a long day with a brain game? Find a new fun hobby that will sharpen your focus? Enjoy entertaining puzzles to get rid of stress? If so, picture puzzles for adults are a perfect solution for you! It's well known that our attention spans are super short these days. From staring at our screens all day long to getting a million notifications an hour, it's no wonder we feel stressed! That's why activity books for adults have become so popular lately. They allow you the opportunity to decompress and have fun while still engaging your brain. This picture puzzles book for adults will get you to focus on the little things in life. Inside you will find a bunch of originally drawn illustrations, side by side. From animals to landscapes and funny scenes, you will get a kick out of finding the differences in these images! Here's what this book can do for you: Give you an opportunity to take a break and have fun, old-school way Engage your brain in a calming and entertaining activity that promotes focus Make you relaxed and help you forget the stressful events of the day Spark your creative and curious side while helping you manage anxiety If you think picture puzzles are for children, think again! Adults all over the world are finding activity books such as this one a great way to relax and unwind. Spotting the difference in these images will feel like a meditation You can bust out the puzzles after work or before bed-really any time you feel a bit bored!",https://www.buybooksindia.com/spot-the-difference-9781954289055-60285.htm,low range
3216,Color By Numbers for Kids Ages 4-8,Activity Wizo,SPOTLIGHT MEDIA LLC,2020,Available,90,Usually Ships 20-25 Days,English,750,Paperback,https://cms.buybooksindia.com/uploads/books/9781951806170.jpg,"Color by Numbers for Kids Ages 4-8: The Perfect Activity to Boost Creativity and Teach Your Kids Numbers Are you looking for a great activity book that your kids can have hours and hours of fun using? If you're looking for a way to help your kids learn numbers while developing their imagination, this is it! Activity books for kids are a great way to help them learn different concepts while having fun. It's proven that coloring books help kids develop focus, patience, and discipline, while improving their hand-to-eye coordination and handwriting skills. With this color by numbers book, your kids will have a new learning activity that will help them learn numbers and develop color recognition. The images are 100% kid-friendly and designed specifically for their age. The book is suitable for both girls and boys, with illustrations of cute animals, the sea world, superheroes, trucks, and boats...",https://www.buybooksindia.com/color-by-numbers-for-kids-ages-4-8-9781951806170-60283.htm,low range
3217,Mazes For Kids Ages 4-8,Activity Nest,Drip Digital LLC,2019,Available,84,Usually Ships 20-25 Days,English,750,Paperback,https://cms.buybooksindia.com/uploads/books/9781951791094.jpg,"Mazes provide hours of fun for boys & girls, and are some of best early childhood education tools out there! This collection of thoughtful mazes will help your child develop critical skills such as problem solving, visual perception, and fine motor skills. Features: 3 difficulty levels (Easy, Medium, Hard) suitable for ages 4-6, and 6-8 Beautifully illustrated mazes that will entertain, stimulate, and challenge your young one Start building key logical and analytical capabilities at a young age",https://www.buybooksindia.com/mazes-for-kids-ages-4-8-9781951791094-60281.htm,low range
3218,Connect The Dots Book For Kids Ages 4-8,Activity Nest,Drip Digital LLC,2019,Out of Stock,82,Usually Ship 5- 9 Days,English,495,Paperback,https://cms.buybooksindia.com/uploads/books/9781951791100.jpg,"These Connect the Dot activities will help your kids follow instructions better, improve hand eye coordination, and develop motor skills! Features: 30 entertaining and educational dot-to-dot puzzles Animals and Objects ranging from 20 to 100 dots Suitable for ages 4-8, 8-12, and adults Printed on beautiful 8.5"" x 11"" paper Can be colored once the dots are connected Get your little one learning and having fun at the same time!",https://www.buybooksindia.com/connect-the-dots-book-for-kids-ages-4-8-9781951791100-60280.htm,low range
3219,Dot To Dot Book For Kids Ages 8-12,Activity Nest,Drip Digital LLC,2020,Available,76,Usually Ships 20-25 Days,English,750,Paperback,https://cms.buybooksindia.com/uploads/books/9781951791193.jpg,"These Connect the Dot activities will help your kids follow instructions better, improve hand eye coordination, and develop motor skills! Features: 30 entertaining and educational dot-to-dot puzzles Animals and Objects ranging from 20 to 150 dots Suitable for ages 4-8, 8-12, and adults Printed on beautiful 8.5"" x 11"" paper Can be colored once the dots are connected Get your little one learning and having fun at the same time!",https://www.buybooksindia.com/dot-to-dot-book-for-kids-ages-8-12-9781951791193-60278.htm,low range
3220,Airplane Activity Book For Kids,Activity Wizo,SPOTLIGHT MEDIA LLC,2020,Out of Stock,74,Usually Ship 5- 9 Days,English,562,Paperback,https://cms.buybooksindia.com/uploads/books/9781951806026.jpg,"The Perfect Gift for Kids - Special Launch Price Click the cover to see what's inside! While supplies last, get one today with the special launch price. Includes Coloring, Dot to Dot Puzzles, & Mazes Provides hours of fun and creativity. Let the fun begin! Original Artwork made specifically for kids ages 4 - 8. Includes Dot to Dot illustrations to help your child count from 1-10, 1-15, 1-25, and all the way up from 1-30. Easily color with crayons, colored pencils, or colored pens. This kids activity book features: 74 pages - Surprise Gift on the Last Page Large 8.5 x 11 pages Printed on white paper Single sided pages to avoid bleed through when coloring. Suitable for both boys and girls Perfect for ages 4 - 8 Get yours today while supplies last at this special launch price. Scroll Up and Buy Now!",https://www.buybooksindia.com/airplane-activity-book-for-kids-9781951806026-60276.htm,low range
3221,Opening Repertoire,Damien Lemos,Gloucester Publishers,2019,Available,256,Usually Ships 20-25 Days,English,1872,Paperback,https://cms.buybooksindia.com/uploads/books/9781781942604.jpg,"Grandmaster Damian Lemos presents a repertoire for White in the Queen's Gambit, one of the most famous chess openings. The Queen's Gambit enjoys a long and illustrious past. It has been played by virtually all the strongest grandmasters in the history of chess, and today it remains a popular choice for players of all levels. White's opening moves in the Queen's Gambit are built on sound strategic principles, and it can lead to positions rich in both tactical and positional play. It's a perfect opening to use in order to develop your chess understanding",https://www.buybooksindia.com/opening-repertoire-9781781942604-60269.htm,mid range
3222,The Betrayal Of Anne Frank,Rosemary Sullivan,William Collins,2022,Available,336,Usually Ships 1-3 Days,English,629,Paperback,https://cms.buybooksindia.com/uploads/books/9780008353841.jpg,"â€˜Hums with living history, human warmth and indignationâ€™ New York Times Less a mystery unsolved than a secret well kept The mystery has haunted generations since the Second World War: Who betrayed Anne Frank and her family? And why? Now, thanks to radical new technology and the obsession of a retired FBI agent, this book offers an answer. Rosemary Sullivan unfolds the story in a gripping, moving narrative. Over thirty million people have read The Diary of a Young Girl, the journal teenaged Anne Frank kept while living in an attic with her family and four other people in Amsterdam during World War II, until the Nazis arrested them and sent them to a concentration camp. But despite the many works â€“ journalism, books, plays and novels â€“ devoted to Anneâ€™s story, none has ever conclusively explained how these eight people managed to live in hiding undetected for over two years â€“ and who or what finally brought the Nazis to their door. With painstaking care, retired FBI agent Vincent Pankoke and a team of indefatigable investigators pored over tens of thousands of pages of documents â€“ some never before seen â€“ and interviewed scores of descendants of people familiar with the Franks. Utilising methods developed by the FBI, the Cold Case Team painstakingly pieced together the months leading to the infamous arrest â€“ and came to a shocking conclusion. The Betrayal of Anne Frank: A Cold Case Investigation is the riveting story of their mission. Rosemary Sullivan introduces us to the investigators, explains the behaviour of both the captives and their captors and profiles a group of suspects. All the while, she vividly brings to life wartime Amsterdam: a place where no matter how wealthy, educated, or careful you were, you never knew whom you could trust.",https://www.buybooksindia.com/the-betrayal-of-anne-frank--9780008353841-60236.htm,low range
3223,Gutsy Girls Of Science,Ilina Singh,Harper Collins,2022,Available,104,Usually Ships 1-3 Days,English,449,Paperback,https://cms.buybooksindia.com/uploads/books/9789354895968.jpg,"Eleven gutsy women who loved science enough to fight for their place in the sun... This book explores the contribution of these remarkable Indian women -- from cytogeneticist Archana Sharma and botanist Janaki Ammal to mathematician Raman Parimala, physicist Bibha Chowdhuri, chemist Asima Chatterjee and several others. This book is a celebration of their lives and the wonderful world of science. ""With intelligence and innate artistic talent, young Ilina Singh presents through this book 11 trailblazing Indian women who overcame all odds to achieve success in STEM."" -- Eric Falt, Director and UNESCO Representative to Bhutan, India, Maldives and Sri Lanka The book includes a foreword by Eric Falt from UNESCO's Delhi office.",https://www.buybooksindia.com/gutsy-girls-of-science--9789354895968-60235.htm,low range
3224,Cadet No. 1 And Other Amazing Women In The Armed Forces,Maya Chandrasekaran,Harper Collins,2021,Out of Stock,148,Usually Ships 1-3 Days,English,220,Paperback,https://cms.buybooksindia.com/uploads/books/9789354228551.jpg,"Maya Chandrasekaran is, in no particular order, an author, traveller, mother, investor, climate warrior and progressive. She lives in Bangalore with her husband and two sons, and is generally located lost in a good book. Meera Naidu is an artist and textile designer who has settled in Bangalore after growing up all over India. When her son lets her, she works on reimagining traditional craft and design with communities across India. She is a keen scuba diver, lover of golden shoes and chow-chow baath, and now an illustrator.",https://www.buybooksindia.com/cadet-no-1-and-other-amazing-women-in-the-armed-forces--9789354228551-60230.htm,low range
3225,Simple and More Simple Chess,John Emms,Gloucester Publishers,2018,Available,290,Usually Ships 20-25 Days,English,1947,Paperback,https://cms.buybooksindia.com/uploads/books/9781781944653_0_1646456441.jpeg,"Two books by Grandmaster John Emms in one volume: It's been said many times before that chess is an easy game to learn, but a difficult one to master. The game is full of difficult questions such as, 'What do you do when your opponent is skilful enough to prevent both checkmate and material loss?' However, once the principal strategic ideas are recognised, then everything becomes much clearer and the game becomes much simpler. In this book Grandmaster and experienced chess writer John Emms provides the reader with the fundamental knowledge required to enter every game with confidence.Most experts agree that to reach a high standard at chess, one must not only be able to calculate properly but also master the many positional points of the game.",https://www.buybooksindia.com/simple-and-more-simple-chess-9781781944653-60189.htm,mid range
3226,Space Coloring Book For Kids,Emil Rana O'Neil,Bogdanschi Petru,2021,Available,66,Usually Ships 20-25 Days,English,750,Paperback,https://cms.buybooksindia.com/uploads/books/9787808634934_0_1646394308.jpeg,"Surprise your children with this Amazing Collection Of Space Coloring Pages with Cool, Fun Astronauts, Spaceships, Planets And More! They will love it!
Hours of Fun, Creativity, Focus & Self-Expression",https://www.buybooksindia.com/space-coloring-book-for-kids-9787808634934-60180.htm,low range
3227,I Wrote This Book For Your Birthday Grandfather,Romney Nelson,The Life Graduate,2020,Available,52,Usually Ships 20-25 Days,English,750,Paperback,https://cms.buybooksindia.com/uploads/books/9781922568175_0_1646393443.jpeg,I Wrote This Book For Your Birthday Grandfather,https://www.buybooksindia.com/i-wrote-this-book-for-your-birthday-grandfather-9781922568175-60052.htm,low range
3228,Addition Subtraction Speed Drills,Scholastic Panda Education,Marc Morgan,2021,Available,112,Usually Ships 20-25 Days,English,525,Paperback,https://cms.buybooksindia.com/uploads/books/9781953149367_0_1646392003.jpeg,"Want your child to be ahead of their peers?
This workbook has over 100 days of reproducible addition and subtraction practice problems for digits 0-20! Just a few minutes of math a day can help students tremendously.
Which is why we created these worksheets to be used as timed tests to improve fluidity and build a strong foundation of math skills.
Math difficulty will increase as students progress through the book so they stay engaged and can continually see their improvement with each page.
*Answer key included* in the back of this book, so students can check their answers easily.
About Scholastic Panda Education
Scholastic Panda Education is a passionately run single mom + daughter publishing company! We love creating cute and practical books for kids!
The Book Contains:
Premium glossy cover design
Printed on high quality 60lb interior stock
Perfectly sized at 8.5"" x 11""
Made in the USA",https://www.buybooksindia.com/addition-subtraction-speed-drills-9781953149367-60043.htm,low range
3229,Division Timed Tests,Scholastic Panda Education,Marc Morgan,2021,Available,112,Usually Ships 20-25 Days,English,525,Paperback,https://cms.buybooksindia.com/uploads/books/9781953149374_0_1646391785.jpeg,"Want your child to be ahead of their class?
This workbook has over 100 days of reproducible division practice problems for digits 0-12, and also multiple digits! Discover how just a few minutes of math practice a day can help students tremendously.
Which is why we created these worksheets to be used as timed tests to improve fluidity and build a strong foundation of division facts.
Math difficulty will increase as students progress through the book so they stay engaged and can continually see their improvement with each page.
*Answer key included* in the back of this book, so students can check their answers easily.
About Scholastic Panda Education
Scholastic Panda Education is a passionately run single mom + daughter publishing company! We love creating cute and practical books for kids!
The Book Contains:
Premium glossy cover design
Printed on high quality 60lb interior stock
Perfectly sized at 8.5"" x 11""
Made in the USA
Scroll back up and click ""Add to Cart"" to help your child confidently step into the fun world of division.",https://www.buybooksindia.com/division-timed-tests-9781953149374-60041.htm,low range
3230,"Mathematics, Magic and Mystery",Martin Gardner,BN PUBLISHING,2012,Available,190,Usually Ships 20-25 Days,English,525,Paperback,https://cms.buybooksindia.com/uploads/books/9781607964094_0_1646391331.jpeg,"Famed puzzle expert explains math behind a multitude of mystifying tricks: card tricks, stage ""mind reading,"" coin and match tricks, counting out games, geometric dissections, etc. Probability, sets, theory of numbers clearly explained. Also, more than 400 tricks, guaranteed to work, that you can do. 135 illustrations.",https://www.buybooksindia.com/mathematics-magic-and-mystery-9781607964094-60037.htm,low range
3231,Sudoku Large Print 101 Puzzles Easy to Hard,Game Nest,Drip Digital LLC,2019,Available,124,Usually Ships 20-25 Days,English,525,Paperback,https://cms.buybooksindia.com/uploads/books/9781951791056_0_1646389439.jpeg,"Easy on Your Eyes, but Not Your Brain!Tired of hard to read Sudoku books? So were we! That's why we created this Large Print book with one puzzle per page.
101 fun and engaging puzzles
3 accurate skill levels: 33 Easy, 34 medium, 34 hard
LARGE PRINT: one puzzle per 8.5"" x 11"" page with plenty of room to work
Wide inner margins so you can easily tear pages out
This collection of puzzles will keep you busy for hours!",https://www.buybooksindia.com/sudoku-large-print-101-puzzles-easy-to-hard-9781951791056-60025.htm,low range
3232,Homeschooling Krishna's Children,Aruddha Devi Dasi,Rekha Gupta,2020,Available,338,Usually Ships 20-25 Days,English,525,Paperback,https://cms.buybooksindia.com/uploads/books/9781733927291_0_1646386943.jpeg,"Many devotee parents are finding that traditional schools do not offer a spiritually nourishing environment for their children, and an increasing number are choosing to homeschool. This guide will help you instill in your children strong Krishna conscious values while giving them a solid academic education.
  Learn how to:
- Help your children develop character and devotion
- Create a curriculum based on Srimad Bhagavatam
- Make life your children's classroom
- Start a homeschooling co-op in your community
- Navigate the college admissions process
- And more!",https://www.buybooksindia.com/homeschooling-krishna-s-children-9781733927291-60011.htm,low range
3233,Spelling Weekly Practice for 1st 2nd Grade,Scholastic Panda Education,Marc Morgan,2020,Available,102,Usually Ships 20-25 Days,English,524,Paperback,https://cms.buybooksindia.com/uploads/books/9781953149329_0_1646381804.jpeg,"Take your child's reading and writing to the next level with our latest learning book that teaches kids how to write and spell essential sight words - excellent for kids in kinder, first or second grade!
Our Spelling Weekly Practice for 1st 2nd grade is a great way for your little one to learn how to read and write high frequency words that make up the majority of words that are in children's book. Learning these words as a core will serve as an important reading foundation for your child to build upon! Once these essential sight words are mastered with this spelling workbook for kids, learning more complex words will be a breeze!
Why You'll Love this Book
Fun and fundamental spelling and writing activities.Word tracing combined with fun activities and cute designs help kids stay engaged while learning throughout the book.
Cute doodles for coloring on every page. The workbook includes tons coloring opportunities of animals and magical creatures to keep your child engaged who offer encouragement along the way.
Practically sized and high quality paper. The book is sized at 8.5 x 11 to easily fit in a backpack and gives even the smallest hands plenty of space to complete the exercises.
About Scholastic Panda Education
Scholastic Panda Education is a passionately run single mom + daughter publishing company! We love creating cute and practical books for kids!
The Book Contains:
Premium glossy cover design
Printed on high quality 60lb interior stock
Perfectly sized at 8.5"" x 11""",https://www.buybooksindia.com/spelling-weekly-practice-for-1st-2nd-grade-9781953149329-59967.htm,low range
3234,Multiplication Speed Drills,Scholastic Panda Education,Marc Morgan,2021,Available,112,Usually Ships 20-25 Days,English,524,Paperback,https://cms.buybooksindia.com/uploads/books/9781953149350_0_1646381320.jpeg,"Want your child to be ahead of their class?
This workbook has over 100 days of reproducible multiplication practice problems for digits 0-12, and also multiple digits! Discover how just a few minutes of math practice a day can help students tremendously.
Which is why we created these worksheets to be used as timed tests to improve fluidity and build a strong foundation of multiplication facts.
Math difficulty will increase as students progress through the book so they stay engaged and can continually see their improvement with each page.
*Answer key included* in the back of this book, so students can check their answers easily.
About Scholastic Panda Education
Scholastic Panda Education is a passionately run single mom + daughter publishing company! We love creating cute and practical books for kids!
The Book Contains:
Premium glossy cover design
Printed on high quality 60lb interior stock
Perfectly sized at 8.5"" x 11""
Scroll back up and click ""Add to Cart"" to help your child confidently step into the fun world of multiplication.",https://www.buybooksindia.com/multiplication-speed-drills-9781953149350-59964.htm,low range
3235,Addition Subtraction Practice Workbook,Scholastic Panda Education,Marc Morgan,2021,Available,112,Usually Ships 20-25 Days,English,524,Paperback,https://cms.buybooksindia.com/uploads/books/9781953149343_0_1646381008.jpeg,"Looking for fun kinder educational workbooks? Look no further!
This kindergarten math workbook will give your child a jump start with our latest kinder learning book that teaches the basics of math to kids.
Our addition and subtraction kindergarten math workbook for kids is an excellent way for your little one to learn basic mathematical skills such as number recognition, decomposing numbers, manipulatives, regrouping, telling time, money and even fun word problems.
As a mother + daughter team, we know how important (and challenging!) it is to keep kids' attention, which is why we've put together a variety of different activities that are both fun and educational!
Why You'll Love this Book
Fun and essential kinder math activities - ""Color and Trace the Numbers"", ""Count the Unicorns"", and ""Subtract the Rocketships"" are a few of the fun activities that inspire learning!
Cute and inspiring themes - All of the activities involve a variety of animals, magical creatures, coloring opportunities and jokes to keep your child engaged.
Practically sized and high quality paper - The book is sized at 8.5 x 11 which gives your child plenty of space to complete the exercises.
About Scholastic Panda Education
Scholastic Panda Education is a passionately run single mom + daughter publishing company! We love creating cute and practical books for kids!
The Book Contains:
Premium cover design
Printed on high quality 60 lb interior stock
Perfectly sized at 8.5"" x 11""
There are ocean animals, magical unicorns, dragons, pets, flowers, fruits and toys to color!
Scroll back up and click ""Add to Cart"" to help your child confidently step into the fun world of math.",https://www.buybooksindia.com/addition-subtraction-practice-workbook-9781953149343-59963.htm,low range
3236,Study Guide to Jane Eyre by Charlotte BrontÃ«,unknown,Dexterity,2020,Available,188,Usually Ships 20-25 Days,English,523,Paperback,https://cms.buybooksindia.com/uploads/books/9781645420606_0_1646374009.jpeg,"A comprehensive study guide offering in-depth explanation, essay, and test prep for Charlotte Brönte's Jane Eyre, a story of a young woman who challenged social norms. As a classic novel written in the Victorian era, Jane Eyre is thought to be one of the reasons women equality has progressed to the extent that it has. Moreover, the novel discusses still-relevant social issues such as women's employment, genteel poverty, marriage, and education. This Bright Notes Study Guide explores the context and history of Brönte's classic work, helping students to thoroughly explore the reasons it has stood the literary test of time. Each Bright Notes Study Guide contains: - Introductions to the Author and the Work - Character Summaries - Plot Guides - Section and Chapter Overviews - Test Essay and Study Q&As The Bright Notes Study Guide series offers an in-depth tour of more than 275 classic works of literature, exploring characters, critical commentary, historical background, plots, and themes. This set of study guides encourages readers to dig deeper in their understanding by including essay questions and answers as well as topics for further research.",https://www.buybooksindia.com/study-guide-to-jane-eyre-by-charlotte-bront--9781645420606-59913.htm,low range
3237,Fairy Magic - Whimsical Fantasy Coloring Book,Selina Fenech,Fairies and Fantasy Pty Ltd,2017,Available,108,Usually Ships 20-25 Days,English,523,Paperback,https://cms.buybooksindia.com/uploads/books/9780648026945_0_1646373454.jpeg,"Relax and find peace as you color beautiful fairies in this enchanting coloring book by bestselling coloring designer, Selina Fenech.
You'll love spending hours of peace and calm bringing these artworks to life with color. Leave your worries behind, grab your favorite pencils and markers, and escape into a world of magic, relaxation, and the joy of creativity.
Perfect for any fairy lover, Fairy Magic by Selina Fenech is filled with stunningly beautiful fairies in whimsical settings, befriending dragons and wizards, or guarding enchanted doorways.
Selina Fenech's coloring titles have 1500+ 5-star Amazon Reviews and sold over 100,000 copies. A favorite among the adult coloring community, discover the elegant design, inspiring scenes, and sense of magic that makes Selina Fenech's books so popular.
Be calm, be content, and awaken your inner magic. Coloring has become famous for its calming power and benefits for mental and emotional health, in adults and children. Relieve anxiety while you release your inner artist, and amaze yourself with the masterpieces you can create adding color to these magical designs.
25 unique artworks x 2 copies of every artwork. This book includes an extra copy of each of the 25 images, for a total of 50 pages to color in, so you can try different colors or mediums, share with a friend, or have a back-up in case of an oops, so you can have a stress-free experience. Page size is a large 8.5 x 11 inches, 'Letter' size, approx. 22 x 28 cm. Images on one side only, framed within the page, not full bleed.
Coloring for all ages, beginner to advanced. With a balance of intricate design and simpler elements, these images will satisfy adults and experienced colorists without being overwhelming to beginner artists. Parental discretion advised for younger artists as some books may contain artistic/concealed nudity or sensual imagery.
Explore the complete 'Fantasy Coloring by Selina' collection to find your next artistic adventure. You'll find a whole world of magic with 20+ coloring books in fantasy themes from mermaids to fairies, dragons to unicorns, goddesses to gothic witches, and the totally cute Faedorables books. Selina Fenech has been a world renown fantasy artist for over fifteen years, and has carefully illustrated these coloring designs herself based on her original fantasy paintings.
Buy Now, and experience peace through the childlike wonder and magic of coloring.
Scroll to the top of the page and click the Add to Cart button.",https://www.buybooksindia.com/fairy-magic-whimsical-fantasy-coloring-book-9780648026945-59908.htm,low range
3238,If You Could Be Mine,Sara Farizan,Workman Publishing,2014,Available,274,Usually Ships 20-25 Days,English,523,Paperback,https://cms.buybooksindia.com/uploads/books/9781616204556_0_1646373276.jpeg,Reading books is a kind of enjoyment. Reading books is a good habit. We bring you a different kinds of books. You can carry this book where ever you want. It is easy to carry. It can be an ideal gift to yourself and to your loved ones. Care instruction keep away from fire.,https://www.buybooksindia.com/if-you-could-be-mine-9781616204556-59907.htm,low range
3239,Diary of a Minecraft Enderman Book 1,Zack Zombie,Star Ventures Inc. DBA Pixel Kid Publishing,2018,Available,122,Usually Ships 20-25 Days,English,506,Paperback,https://cms.buybooksindia.com/uploads/books/9780999068199_0_1646371685.jpeg,"from the makers of diary of a Minecraft Zombie get a never before sneak peek into the life of a real life enderman! did you ever want to know why enderman sneak around and move our stuff when we're not looking? or, did you ever want to know where enderman truly came from? or, did you ever wonder why enderman can teleport so fast you can't catch one? but most importantly, are endermen really a hostile mob or are they totally misunderstood? well now you can find the truth about endermen, by taking a sneak peek into the Diary of a real live enderman! but you are going to have to jump into this zany Minecraft adventure to find out more!.",https://www.buybooksindia.com/diary-of-a-minecraft-enderman-book-1-9780999068199-59821.htm,low range
3240,Diary of a Minecraft Zombie Book 14,Zack Zombie,Herobrine Publishing,2018,Available,150,Usually Ships 20-25 Days,English,472,Paperback,https://cms.buybooksindia.com/uploads/books/9781943330850_0_1646370947.jpeg,"Zombie Puberty Really Stinks!
It seems puberty hits zombies a lot differently than humans.
And Zombie is going through some major changes.
But somebody forgot to tell Zombie that mutating is part of growing up. So he's up to his eye sockets in drama.
But he isn't the only one that's changing. There's a volcano that is threatening to blow Zombie's village off the map.
But will he be able to stop his metamorphosis in time to save his village?
Jump Into this Zany Minecraft Adventure and Find Out!",https://www.buybooksindia.com/diary-of-a-minecraft-zombie-book-14-9781943330850-59816.htm,low range
3241,Medium Logic Puzzles & Brain Games for Adults,Khalid Alzamili,Dr. Khalid Alzamili,2020,Available,140,Usually Ships 20-25 Days,English,506,Paperback,https://cms.buybooksindia.com/uploads/books/9789922636085_0_1646370653.jpeg,"This Medium Logic Puzzles book is packed with the following features:
- 48 Sudoku Puzzles
- 36 Fillomino Puzzles
- 48 Battleships Puzzles
- 32 Calcudoku Puzzles
- 48 Binary Puzzles
- 36 Slitherlink Puzzles
- 48 Sudoku X Puzzles
- 40 Masyu Puzzles
- 48 Jigsaw Sudoku Puzzles
- 36 Minesweeper Puzzles
- 48 Suguru Puzzles
- 32 Numbrix Puzzles.
- Answers to every puzzle are provided.
- Each puzzle is guaranteed to have only one solution.
Includes free bonus puzzles you can download book (Tons of Sudoku Puzzles for Adults & Seniors)
Includes free bonus puzzles you can download book (Word Search With Hidden Message: 102 Puzzles for Adults and Seniors)",https://www.buybooksindia.com/medium-logic-puzzles-brain-games-for-adults-9789922636085-59814.htm,low range
